"Region","AvailabilityZone","VolumeId","VolumeType","Size","Iops","Throughput","State","Tags","Name","InstanceId","InstanceState","InstanceType","Device","IsRootVolume","PlatformDetails"
"us-west-2","us-west-2b","vol-055baf302ae869cc1","gp2","50","150",,"in-use","=",,"i-0276cd839fb54e044","stopped","t2.medium","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-0bd686a6fb13e6cfe","gp2","30","100",,"in-use","=",,"i-00e014acdd419aa71","running","t2.small","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-0f9827a09eefd3c08","io2","6","3000",,"in-use","importance=low; owner=gso; team=fsa; env=sandbox; org=revenue; ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; administrator=david_stamen; Product=Pure:CBS",,"i-00fb3660cf238308c","running","i3.2xlarge","/dev/sdf","False","Linux/UNIX"
"us-west-2","us-west-2b","vol-071375e8b50c4b481","gp3","1024","3000","125","in-use","importance=low; administrator=david_stamen; owner=worldwide_sys_eng; service=demo; Name=gso-cvdemo-ma-disk1; ext-facing=false; org=revenue; env=dev; team=elob","gso-cvdemo-ma-disk1","i-01998a41289cfdb3d","running","m7i.4xlarge","/dev/sdf","False","Windows"
"us-west-2","us-west-2b","vol-0ad6f443457dd8834","gp2","8","100",,"in-use","=",,"i-0533352bdae7ef7c5","running","t2.small","/dev/xvda","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-066b4e323ccca2802","gp2","30","100",,"in-use","=",,"i-0e0817abafe751449","running","t2.small","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-0fd78cc7b79e97b54","gp2","8","100",,"in-use","=",,"i-0b731eb168356d28c","running","t2.small","/dev/xvda","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-046f238ab97acfaf7","gp2","40","120",,"available","=",,,,,,"False",
"us-west-2","us-west-2b","vol-0782e4a28ab1e46e5","gp3","30","3000","125","in-use","=",,"i-05ba0533433a11bf1","running","t3.medium","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-0620f6dd4d6a0568d","io2","6","3000",,"in-use","ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; Product=Pure:CBS; owner=gso; administrator=david_stamen; importance=low; team=fsa; env=sandbox; org=revenue",,"i-0c5934fee7c388aa8","running","i3.2xlarge","/dev/sdf","False","Linux/UNIX"
