"Region","AvailabilityZone","VolumeType","Size","Iops","Throughput","VolumeId","Name","Device","IsRootVolume","PlatformDetails","InstanceId","State","InstanceState","InstanceType","Tags"
"us-west-2","us-west-2b","gp2","50","150",,"vol-055baf302ae869cc1",,"/dev/sda1","True","Windows","i-0276cd839fb54e044","in-use","stopped","t2.medium","="
"us-west-2","us-west-2b","gp2","30","100",,"vol-0bd686a6fb13e6cfe",,"/dev/sda1","True","Windows","i-00e014acdd419aa71","in-use","running","t2.small","="
"us-west-2","us-west-2b","io2","6","3000",,"vol-0f9827a09eefd3c08",,"/dev/sdf","False","Linux/UNIX","i-00fb3660cf238308c","in-use","running","i3.2xlarge","importance=low; owner=gso; team=fsa; env=sandbox; org=revenue; ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; administrator=david_stamen; Product=Pure:CBS"
"us-west-2","us-west-2b","gp3","1024","3000","125","vol-071375e8b50c4b481",,"/dev/sdf","False","Windows","i-01998a41289cfdb3d","in-use","running","m7i.4xlarge","importance=low; administrator=david_stamen; owner=worldwide_sys_eng; service=demo; Name=gso-cvdemo-ma-disk1; ext-facing=false; org=revenue; env=dev; team=elob"
"us-west-2","us-west-2b","gp2","8","100",,"vol-0ad6f443457dd8834",,"/dev/xvda","True","Linux/UNIX","i-0533352bdae7ef7c5","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","30","100",,"vol-066b4e323ccca2802",,"/dev/sda1","True","Windows","i-0e0817abafe751449","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","8","100",,"vol-0fd78cc7b79e97b54",,"/dev/xvda","True","Linux/UNIX","i-0b731eb168356d28c","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","40","120",,"vol-046f238ab97acfaf7",,,"False",,,"available",,,"="
"us-west-2","us-west-2b","gp3","30","3000","125","vol-0782e4a28ab1e46e5",,"/dev/sda1","True","Windows","i-05ba0533433a11bf1","in-use","running","t3.medium","="
"us-west-2","us-west-2b","io2","6","3000",,"vol-0620f6dd4d6a0568d",,"/dev/sdf","False","Linux/UNIX","i-0c5934fee7c388aa8","in-use","running","i3.2xlarge","ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; Product=Pure:CBS; owner=gso; administrator=david_stamen; importance=low; team=fsa; env=sandbox; org=revenue"
"us-west-2","us-west-2b","gp2","100","300",,"vol-0b9fea63d3e49988b",,"/dev/sda1","True","Linux/UNIX","i-00a5516b75f1dfc9f","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; importance=low; Product=Pure:CBS; owner=gso; administrator=david_stamen; service=demo; env=sandbox; ext-facing=false; team=fsa; org=revenue"
"us-west-2","us-west-2b","gp3","300","3000","125","vol-0810bc1fb7a594346",,"/dev/sdf","False","Windows","i-09add464622bcc412","in-use","running","m7i.2xlarge","owner=worldwide_sys_eng; team=elob; importance=low; service=demo; administrator=david_stamen; Name=gso-cvdemo-cs-disk1; env=dev; ext-facing=false; org=revenue"
"us-west-2","us-west-2b","gp2","8","100",,"vol-0ee281079453cc959",,"/dev/xvda","True","Linux/UNIX","i-0be5963462180a480","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","30","100",,"vol-0d28a880be7c1b223",,"/dev/sda1","True","Windows","i-026c14b9e49e4e171","in-use","stopped","t2.small","="
"us-west-2","us-west-2b","gp2","100","300",,"vol-002516a639ae53372",,"/dev/sda1","True","Linux/UNIX","i-0c5934fee7c388aa8","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; ext-facing=false; org=revenue; team=fsa; administrator=david_stamen; env=sandbox; owner=gso; service=demo; Product=Pure:CBS; importance=low"
"us-west-2","us-west-2b","io2","6","3000",,"vol-0fe151d1e2cf96b55",,"/dev/sdf","False","Linux/UNIX","i-0d204ecfa24d4b84b","in-use","running","i3.2xlarge","importance=low; Product=Pure:CBS; owner=gso; administrator=david_stamen; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; org=revenue; env=sandbox; ext-facing=false; team=fsa"
"us-west-2","us-west-2b","gp2","100","300",,"vol-00f6647c89370984d",,"/dev/sda1","True","Linux/UNIX","i-0d204ecfa24d4b84b","in-use","running","i3.2xlarge","ext-facing=false; org=revenue; service=demo; administrator=david_stamen; env=sandbox; Product=Pure:CBS; team=fsa; importance=low; owner=gso; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d"
"us-west-2","us-west-2b","gp2","30","100",,"vol-0192e0418e40b3cf2",,"/dev/sda1","True","Windows","i-073cf52c41e39f228","in-use","stopped","t2.small","="
"us-west-2","us-west-2b","gp2","8","100",,"vol-0c3f749f3c63d9110",,"/dev/xvda","True","Linux/UNIX","i-0b3fec7d28615484f","in-use","running","t2.small","="
"us-west-2","us-west-2b","io2","6","3000",,"vol-08004422694c46ed0",,"/dev/sdf","False","Linux/UNIX","i-0875315865ca66763","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; importance=low; Product=Pure:CBS; administrator=david_stamen; env=sandbox; owner=gso; service=demo; ext-facing=false; org=revenue; team=fsa"
"us-west-2","us-west-2b","gp3","8","3000","125","vol-02680fb8d92451b80",,"/dev/xvda","True","Linux/UNIX","i-05a724466a0d7a83f","in-use","stopped","t2.small","="
"us-west-2","us-west-2b","standard","1",,,"vol-0d8d568ff34223f2a",,"/dev/sda1","True","Linux/UNIX","i-0500da505779fa421","in-use","running","t3.small","="
"us-west-2","us-west-2b","gp3","8","3000","125","vol-075858b3c9295c300",,"/dev/xvda","True","Linux/UNIX","i-04660e814ceece4dc","in-use","stopped","t2.medium","="
